Gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,radial_position
Atg13,2402.6113,0.0876814419859149,0.030845443520760296,-2.8426059728044293,0.004474635253017598,0.02369852406490803,Atg13,0.7076900302127531
Harbi1,117.348145,0.008544868616627893,0.08248435079789164,-0.1035938154810125,0.9174916957882562,0.9577171342955036,Harbi1,0.7076900302127531
Ambra1,2236.732,0.004693703790614811,0.034880980698248805,-0.13456341239999764,0.8929570711100594,0.944629481748105,Ambra1,0.7076900302127531
Chrm4,1078.5214,-0.14542744465545795,0.05336602251872668,2.725094316415018,0.006428312094201007,0.03148162884349995,Chrm4,0.7076900302127531
Mdk,155.543,-0.06597162396769775,0.07405926013816883,0.8907950720087893,0.37303911939585777,0.5655282996982643,Mdk,0.7076900302127531
Dgkz,10995.123,0.043357309668615035,0.053269078694456365,-0.8139301585692181,0.4156849624470952,0.6044285964840784,Dgkz,0.7076900302127531
Creb3l1,49.617836,-0.30016571160213784,0.10187280106088926,2.9464754917529863,0.003214178888583793,0.018354098843459482,Creb3l1,0.7076900302127531
Phf21a,804.63135,0.00914609523582985,0.04168175060778202,-0.21942684993950962,0.8263175563984685,0.9070083281111232,Phf21a,0.7076900302127531
Pex16,355.6382,0.008794777128293527,0.0469434812943751,-0.18734820864994817,0.8513876270365182,0.9210799265845331,Pex16,0.7076900302127531
Mapk8ip1,8922.511,-0.1356210293293842,0.04538311040250439,2.9883590641222377,0.002804798253032251,0.01649191091560259,Mapk8ip1,0.7076900302127531
Cry2,3981.409,0.19925594280853662,0.03707354548316742,-5.374612549506634,7.67475321630835e-08,2.006333985807329e-06,Cry2,0.7076900302127531
Slc35c1,386.32828,-0.0470808891077931,0.0475922320884849,0.9892557470357537,0.322538029524328,0.5164638716051073,Slc35c1,0.7076900302127531
Chst1,5936.3545,-0.036302970621673786,0.04731018141448436,0.7673394930284365,0.44287969327895893,0.6284403345160805,Chst1,0.7293612560940835
Syt13,7028.048,0.11195588607215658,0.03424485520784298,-3.269276082280404,0.001078230402141472,0.007612487446548083,Syt13,0.7293612560940835
Prdm11,124.307655,0.10731869108886388,0.057793612718878104,-1.8569299623279747,0.06332111911758209,0.17068887357927728,Prdm11,0.7293612560940835
Trp53i11,1946.4166,0.09277441817942154,0.042064836829901905,-2.205509997687013,0.027418327017852778,0.09396845697636726,Trp53i11,0.7293612560940835
Tspan18,111.830795,-0.1275491577618735,0.08698869471407546,1.4662728091405082,0.14257398001169833,0.3029726048988634,Tspan18,0.7293612560940835
Cd82,503.46246,0.0989692125392227,0.054817552709210994,-1.80542924023299,0.071007538977699,0.18507269032452714,Cd82,0.7293612560940835
Alx4,48.935883,-0.0429045584135968,0.14794314872445924,0.2900070654404251,0.7718108323399615,0.8720148145488493,Alx4,0.7293612560940835
Ext2,1065.767,-0.014017110507261527,0.029025491583215254,0.48292413815197144,0.6291496020533994,0.7764719524539688,Ext2,0.7293612560940835
Accs,54.08028,-0.03872773987317627,0.12040954723926013,0.3216334647967923,0.7477303886309005,0.856956063988996,Accs,0.7293612560940835
Gm13889,522.45447,-0.3831683442760305,0.048399832205107025,7.916728774022476,2.4384086415087694e-15,2.6783562481648005e-13,Gm13889,0.7293612560940835
Alkbh3,99.144455,0.19096889934229183,0.07535243361516432,-2.5343428231873353,0.011265845463283282,0.04850324968727792,Alkbh3,0.7293612560940835
Hsd17b12,1448.7463,-0.042772475574467825,0.04552212638502305,0.9395974874438231,0.34742406556860195,0.5416595926027856,Hsd17b12,0.7293612560940835
Ttc17,827.30774,-0.04556374312193703,0.0412562655799783,1.1044078391828356,0.26941626177535494,0.46178074451424916,Ttc17,0.7293612560940835
2810002D19Rik,53.449574,-0.040670072167183845,0.10643165355344787,0.38212384012957323,0.7023695093404103,0.8293289843350048,2810002D19Rik,0.7293612560940835
Api5,1337.2521,-0.03634670250260804,0.05285864470431114,0.6876207800243431,0.4916916188969761,0.6688807745268271,Api5,0.7293612560940835
Lrrc4c,1862.242,0.2447484968617989,0.06197274064586627,-3.9492927747116537,7.838243413785712e-05,0.0008559204650091314,Lrrc4c,0.7928225027398862
B230118H07Rik,218.15149,-0.0018352050136742784,0.07497314394395382,0.024478165342061497,0.9804712000292058,0.9907921545675407,B230118H07Rik,0.804537669136207
Traf6,435.99042,0.030900777924719416,0.0698210626236808,-0.44257100599094834,0.6580760603139401,0.7953501788593168,Traf6,0.804537669136207
Prr5l,295.05276,-0.11241494868307592,0.0649517680491957,1.7307450137143414,0.0834972529231176,0.20756800931115826,Prr5l,0.804537669136207
Commd9,432.9918,0.10553326088879447,0.04620092742354066,-2.28422386246347,0.022358377852770134,0.08081130052811257,Commd9,0.804537669136207
Ldlrad3,264.8222,0.2579454111959054,0.08474378954888423,-3.043826722512926,0.002335896410682539,0.014254202606924121,Ldlrad3,0.804537669136207
Trim44,5375.3457,0.07464569284380135,0.05651234601623583,-1.3208740763010594,0.18654335489016627,0.3610529578665063,Trim44,0.804537669136207
Fjx1,1660.6667,-0.13502826490515632,0.04033962322884048,3.3472862187919237,0.0008160690447301959,0.0060332796853328,Fjx1,0.804537669136207
Pamr1,640.21893,0.03130066217382442,0.045550904968047784,-0.6871578554977258,0.4919832590346167,0.6691689051864178,Pamr1,0.7507985747873771
Slc1a2,66885.71,0.029670463183620873,0.0553322822651492,-0.536223375740073,0.5918041798707554,0.7478221611649888,Slc1a2,0.7507985747873771
Cd44,102.87618,-0.1771762717472052,0.0828645524041591,2.1381431095295755,0.03250513001646819,0.10608603107247333,Cd44,0.7507985747873771
Pdhx,722.2413,0.045728795040769675,0.04134275970245453,-1.1060895636837407,0.2686877554108795,0.4610157063501715,Pdhx,0.7507985747873771
Apip,114.05037,-0.23032493028317497,0.07728051703353168,2.980375120720763,0.0028789559528513797,0.01685088490096867,Apip,0.7507985747873771
Cat,759.05347,-0.07339483908512923,0.03932657557657899,1.866291127795008,0.06200064541522765,0.16862529762372055,Cat,0.7507985747873771
Abtb2,573.55554,0.058151334394957746,0.037335546378551264,-1.5575327010177318,0.11934406287762925,0.26771001302102143,Abtb2,0.7507985747873771
Nat10,525.44135,-0.019268836470069346,0.034026437607559606,0.5662901503914243,0.5711965549858344,0.7328282073556117,Nat10,0.7507985747873771
Caprin1,3313.3352,0.00740122977608882,0.05419999146954518,-0.13655407640142433,0.8913832780761477,0.9437284001079966,Caprin1,0.7507985747873771
Lmo2,257.71948,0.012059678910559998,0.054155787757149854,-0.22268495039974434,0.8237807151204125,0.905299960260544,Lmo2,0.7507985747873771
Fbxo3,1102.5356,0.022138287169654623,0.05287747163575612,-0.4186714395528049,0.6754562713209991,0.8084424648443675,Fbxo3,0.7507985747873771
Cd59a,51.568504,-0.2732169483111803,0.14901093873281224,1.833536186233138,0.06672287230517716,0.17714588437883952,Cd59a,0.7507985747873771
D430041D05Rik,5486.1387,-0.035194247231184445,0.03293923071103022,1.0684599024165764,0.2853131084634677,0.4785483948063629,D430041D05Rik,0.7507985747873771
Hipk3,3651.6685,0.012410648968402273,0.03858242367052964,-0.3216658723770607,0.7477058347052193,0.856956063988996,Hipk3,0.7507985747873771
Cstf3,343.93945,-0.03425774781559672,0.061534903628636096,0.5567205893803402,0.577718347264691,0.7378695052859855,Cstf3,0.7507985747873771
Tcp11l1,540.46826,-0.004649390237270372,0.04704265117227034,0.09883350792123281,0.9212704632560426,0.9600515207860745,Tcp11l1,0.7507985747873771
Eif3m,731.89594,0.10369695998261846,0.0506021734633353,-2.0492590117251375,0.04043679437929202,0.12465786304993538,Eif3m,0.813163536453871
Rcn1,450.21045,-0.28171851392381325,0.05884975023799587,4.787080876036139,1.6922465254579615e-06,3.0892952980811473e-05,Rcn1,0.813163536453871
Pax6,122.79946,0.06696908450889928,0.07751066663262687,-0.8639983039535583,0.3875888222584736,0.5781738509176445,Pax6,0.813163536453871
Elp4,414.31192,0.009798848818033007,0.04542655809180609,-0.21570748983952834,0.8292157626129577,0.9089002076594009,Elp4,0.813163536453871
Immp1l,175.56549,0.0031961220392080682,0.06492389242538706,-0.04922874953748607,0.9607370002188038,0.9803218184368268,Immp1l,0.813163536453871
Dnajc24,98.06922,0.04457436969168998,0.08568386894296835,-0.5202189191685417,0.6029110003974402,0.7560826716103751,Dnajc24,0.813163536453871
Mpped2,556.0658,0.12980893172240854,0.051372240987957375,-2.526830234111029,0.011509712391781769,0.049270752244510635,Mpped2,0.813163536453871
Arl14ep,495.6504,0.10936213562023502,0.07697431857427393,-1.420761335025129,0.15538615470047307,0.32091206005528256,Arl14ep,0.813163536453871
Kcna4,631.6318,-0.05923817869134672,0.03694680078493057,1.6033371613465408,0.10886023626834095,0.2511019158557823,Kcna4,0.813163536453871
Mettl15,95.11712,0.04047852423776755,0.08904378083483892,-0.4545912567756791,0.6494033260163385,0.7894671572135009,Mettl15,0.8183933489868588
Bdnf,356.0426,0.04468692772194866,0.07405813434513563,-0.6034033684091022,0.5462403819510164,0.7134032074491502,Bdnf,0.8051804507495305
Lin7c,971.36145,0.06840806103584667,0.08886534330841406,-0.7697945958350848,0.44142174591635097,0.6270184352176291,Lin7c,0.8051804507495305
Lgr4,735.8844,-0.03866123304565806,0.0635741788950174,0.6081279179319155,0.5431026373287486,0.7107423480700914,Lgr4,0.8051804507495305
Ccdc34,40.649807,-0.15416520468479028,0.14108118993337146,1.0927410291733293,0.2745075199525877,0.46732062949990544,Ccdc34,0.8051804507495305
Fibin,57.51574,-0.3955198801406606,0.1114881578303987,3.5476402860862137,0.00038869868916420594,0.0033098896195865378,Fibin,0.8051804507495305
Ano3,2001.1451,0.011391249375632444,0.060073236014628086,-0.18962270274334195,0.8496047957570058,0.9202174581819541,Ano3,0.8303180201151046
Lpcat4,1866.177,-0.13115809852119045,0.04083422220699638,3.211965146693019,0.001318303676693591,0.008919020371667665,Lpcat4,0.8303180201151046
Nop10,562.42224,0.014095246181511461,0.0493285442774549,-0.2857421881787326,0.7750755897322736,0.8735559594440437,Nop10,0.8303180201151046
Slc12a6,2929.0425,-0.05782891280609308,0.038812711226300145,1.489947776874377,0.13623796785235223,0.29342008202308384,Slc12a6,0.8303180201151046
Emc4,797.3927,-0.05206288181178258,0.035957331744611284,1.4479072635745542,0.14764298797077008,0.3104136232533273,Emc4,0.8303180201151046
Katnbl1,134.9929,0.12815536810928418,0.062064955710262514,-2.0648587700207375,0.03893636519057947,0.12117553081096769,Katnbl1,0.8303180201151046
Emc7,1437.7272,-0.008884659180058605,0.018526406321701838,0.4795673281574912,0.6315350828009884,0.7778003455471326,Emc7,0.8303180201151046
Chrm5,36.033684,0.2538651875640586,0.1391406752164404,-1.8245217451270694,0.06807323196055208,0.17953177555912428,Chrm5,0.8303180201151046
Aven,134.5574,0.008523430577514715,0.08012750197184355,-0.10637334707513796,0.9152861390302013,0.9564516412895402,Aven,0.7915887684268696
Ryr3,1059.149,0.05923840545832999,0.033323972923014346,-1.7776513501311395,0.07546113450119112,0.19338966761711884,Ryr3,0.7915887684268696
Fmn1,1217.4452,0.39358657255921575,0.03590863181638209,-10.960778861523076,5.898948176714217e-28,3.504779618992342e-25,Fmn1,0.7915887684268696
Scg5,2770.6975,0.27177248441953655,0.02731825113970047,-9.94838516674228,2.5630838044872817e-23,8.816333791698225e-21,Scg5,0.7915887684268696
