Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_symbol,radial_position
ENSMUSG00000044600.14,1513.8085,0.06063063394557875,0.058319685461576606,-1.0396255306542195,0.2985139107544348,0.536133056728234,ENSMUSG00000044600,Smim7,0.7449141606664612
ENSMUSG00000031791.8,1704.1271,-0.2792436752996142,0.10680214477292527,2.614588647946361,0.008933497458824319,0.04631716908264584,ENSMUSG00000031791,Tmem38a,0.7449141606664612
ENSMUSG00000048148.18,5414.3374,-0.09202172277663652,0.08522476578336952,1.0797533079826116,0.280252048493309,0.5169337445701742,ENSMUSG00000048148,Nwd1,0.7449141606664612
ENSMUSG00000031622.16,5839.7026,-0.20028637082278963,0.03561344192901047,5.6238981680576545,1.8669573126440695e-08,6.49199105858921e-07,ENSMUSG00000031622,Sin3b,0.7449141606664612
ENSMUSG00000034518.14,1367.6825,0.16702705288683772,0.045900470839177476,-3.6388962865338406,0.00027380903555438547,0.002818462162000117,ENSMUSG00000034518,Hmgxb4,0.770706575058806
ENSMUSG00000042870.15,283.49338,-0.22388238756636097,0.08601696177464534,2.602770232142207,0.00924739055715464,0.04757936229469182,ENSMUSG00000042870,Tom1,0.770706575058806
ENSMUSG00000005413.8,113.11747,-0.2696699563597145,0.19779268190615865,1.3633970365377701,0.17275741455913796,0.3847991594271696,ENSMUSG00000005413,Hmox1,0.770706575058806
ENSMUSG00000034472.13,2088.566,-0.0498395867055266,0.11352859858212587,0.43900468540949145,0.6606581413392725,0.8274480995370526,ENSMUSG00000034472,Rasd2,0.770706575058806
ENSMUSG00000074235.4,115.49641,0.07895626371898842,0.29588215486770714,-0.2668503741102292,0.7895843671363174,0.9018839586529794,ENSMUSG00000074235,Gm10649,0.7860892332701723
ENSMUSG00000031618.13,2533.174,0.1614706012447082,0.05659212289553005,-2.85323456663369,0.004327666446385352,0.026299813148543384,ENSMUSG00000031618,Nr3c2,0.7860892332701723
ENSMUSG00000037148.8,277.22754,0.38426325514179915,0.1664242310931001,-2.3089381433094127,0.020947013986254082,0.088637876575272,ENSMUSG00000037148,Arhgap10,0.7860892332701723
ENSMUSG00000037134.17,1343.9375,0.04950134724857621,0.04809765519519339,-1.0291842096602475,0.3033931209130706,0.5414299662914441,ENSMUSG00000037134,Prmt9,0.7864248760444905
ENSMUSG00000031617.16,2224.3894,-0.028598769272215586,0.051369570487499516,0.5567258787802193,0.5777147328025374,0.7771096511456805,ENSMUSG00000031617,Tmem184c,0.7864248760444905
ENSMUSG00000031616.7,277.5444,-0.15897882534179392,0.17315926615389776,0.9181075253604922,0.35856257545863257,0.5959265593000375,ENSMUSG00000031616,Ednra,0.7864248760444905
ENSMUSG00000037070.10,503.36646,0.06834469026919648,0.0753403981391299,-0.9071453291630533,0.3643299499943097,0.6024175021547687,ENSMUSG00000037070,Rbmxl1,0.7773338032200542
ENSMUSG00000031684.11,844.41895,0.09062851111048151,0.10038721715309058,-0.902789355862639,0.36663770140319996,0.6040460284678729,ENSMUSG00000031684,Slc10a7,0.7773338032200542
ENSMUSG00000031683.16,1806.6475,0.07486931584805225,0.056395738045256084,-1.3275704591005015,0.18432004895515697,0.40111299635889536,ENSMUSG00000031683,Lsm6,0.7773338032200542
ENSMUSG00000071064.13,4533.4644,-0.008344689703185987,0.04316907479584525,0.19330249125443635,0.8467220753861608,0.9309342741718604,ENSMUSG00000071064,Zfp827,0.774139309299865
ENSMUSG00000037022.3,1479.6405,0.17214960079742458,0.06939839563527009,-2.4805991438501445,0.013116178239170077,0.062313140704576095,ENSMUSG00000037022,Mmaa,0.774139309299865
ENSMUSG00000097174.2,104.550705,-0.27260477437267094,0.2071109169055469,1.3162260031758373,0.18809819848832665,0.4057550924402409,ENSMUSG00000097174,Gm4890,0.774139309299865
ENSMUSG00000031681.16,2075.3335,0.119150758366993,0.07100708117986843,-1.678012338870423,0.09334469025752418,0.255463180083092,ENSMUSG00000031681,Smad1,0.774139309299865
ENSMUSG00000036990.13,4745.7905,-0.029931387081966746,0.04000251890471997,0.7482375585712201,0.4543168802300199,0.6837328218427476,ENSMUSG00000036990,Otud4,0.774139309299865
ENSMUSG00000058355.8,3848.1921,0.016782210134007,0.037994431607958346,-0.4417018342891009,0.6587049821653103,0.8262891144221459,ENSMUSG00000058355,Abce1,0.774139309299865
