gene_id	WT_rep1	WT_rep2	WT_rep3	R168X_rep1	R168X_rep2	R168X_rep3
Tcte1	4.00	0.00	0.00	3.00	1.00	2.00
Tcte2	7.00	7.00	16.00	12.00	9.00	15.00
Tcte3	5.03	4.32	0.00	10.00	0.00	0.00
Tctex1d1	0.00	0.00	1.00	0.00	0.00	0.00
Tctex1d2	97.00	97.00	68.00	107.00	92.00	149.00
Tctex1d4	0.00	1.00	0.00	0.00	0.00	0.00
Tctn1	201.00	150.00	103.00	137.00	131.00	160.00
Tctn2	265.00	205.00	162.00	234.00	179.00	200.00
Tctn3	143.00	129.00	91.00	192.00	152.00	199.00
Tdg	540.67	304.60	269.10	524.67	415.94	605.46
Tdgf1	3.00	1.00	5.00	0.00	0.00	3.00
Tdh	11.00	6.00	7.00	3.00	5.00	2.00
Tdo2	0.00	0.00	0.00	0.00	0.00	0.00
Tdp1	278.00	238.00	195.00	316.00	273.00	345.00
Tdp2	461.00	360.00	293.00	527.00	464.00	654.00
Tdpoz1	0.00	0.00	0.00	0.00	0.00	0.00
Tdpoz2	0.00	0.00	0.00	0.00	0.00	0.00
Tdpoz3	0.00	0.00	0.00	0.00	0.00	0.00
Tdpoz4	0.00	0.00	0.00	0.00	0.00	0.00
Tdpoz5	0.00	0.00	0.00	0.00	0.00	0.00
Tdrd1	234.00	204.00	116.00	416.00	357.00	425.00
Tdrd12	6.00	7.00	2.00	6.00	2.00	6.00
Tdrd3	829.00	720.00	584.00	805.00	777.00	898.00
Tdrd5	2.00	0.00	1.00	4.00	3.00	2.00
Tdrd6	1.00	2.00	1.00	2.00	0.00	2.00
Tdrd7	734.00	559.00	482.00	785.00	718.00	885.00
Tdrd9	7.00	3.00	4.00	10.00	15.00	20.00
Tdrkh	640.00	532.00	418.00	847.00	798.00	975.00
Tdrp	155.00	112.00	101.00	145.00	141.00	196.00
Tead1	10568.00	8499.00	6663.00	16017.00	10227.00	8646.00
Tead2	1028.00	880.00	620.00	939.00	682.00	1004.00
Tead3	267.00	180.00	161.00	185.90	159.00	158.00
Tead4	24.00	22.00	25.00	24.10	14.00	24.00
Tec	442.00	310.00	255.00	328.00	257.00	353.00
Tecpr1	1294.00	1036.00	800.00	1262.00	924.00	1236.00
Tecpr2	892.00	700.00	535.00	1112.00	779.00	926.00
Tecr	2887.00	2354.00	1843.00	3712.00	3158.00	3901.00
Tecrl	1.00	0.00	0.00	0.00	1.00	0.00
Tecta	185.00	169.00	124.00	163.00	143.00	176.00
Tectb	0.00	0.00	0.00	1.00	0.00	0.00
Tedc1	149.00	105.00	105.00	109.00	94.00	128.00
Tedc2	154.00	126.00	88.00	142.00	134.00	187.00
Teddm1a	0.00	0.00	0.00	0.00	0.00	0.00
Teddm1b	2.00	0.00	0.00	2.00	1.00	1.00
Teddm2	1.00	1.00	1.00	0.00	0.00	0.00
Teddm3	0.00	0.00	0.00	0.00	0.00	0.00
Tef	1392.00	1117.00	804.00	1371.00	949.00	1417.00
Tefm	126.00	127.00	93.00	135.00	129.00	207.00
Tek	17.00	11.00	16.00	17.00	7.00	17.00
Tekt1	3.00	3.00	2.00	11.00	6.00	10.00
Tekt2	0.00	1.00	3.00	3.00	2.00	3.00
Tekt3	0.00	0.00	1.00	1.00	1.00	0.00
Tekt4	0.00	0.00	0.00	1.00	2.00	0.00
Tekt5	0.00	0.00	0.00	0.00	0.00	1.00
Telo2	229.00	200.00	153.00	194.00	164.00	280.00
Ten1	182.00	146.00	112.00	210.00	182.00	296.00
Tenm1	176.00	171.00	101.00	336.00	237.00	250.00
Tenm2	171.00	158.00	113.00	127.00	96.00	94.00
Tenm3	4704.00	3798.00	3141.00	3778.00	2212.00	2317.00
Tenm4	2321.00	2033.00	1495.00	4485.00	2770.00	2704.00
Tent2	787.00	676.00	451.00	822.00	652.00	852.00
