Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_symbol,radial_position
ENSMUSG00000038375.15,5966.089,0.02601581210529257,0.12608489825560446,-0.20633567116461682,0.8365287164213876,0.9459217606030195,ENSMUSG00000038375,Trp53inp2,0.6437764326492784
ENSMUSG00000038369.14,3809.999,-0.005134211887356051,0.08480733700192636,0.060539713530203515,0.9517257870146916,0.9853577488194645,ENSMUSG00000038369,Ncoa6,0.6437764326492784
ENSMUSG00000027603.15,2509.1284,-0.08964955841587612,0.06790432798166798,1.3202333500756926,0.18675712044269643,0.47240058983176053,ENSMUSG00000027603,Ggt7,0.6437764326492784
ENSMUSG00000027605.18,2239.9758,-0.003824339121523983,0.041382487331053264,0.09241443345176145,0.9263687722655723,0.9793381635313284,ENSMUSG00000027605,Acss2,0.6437764326492784
ENSMUSG00000027610.17,971.7066,-0.009304342291936668,0.05121471758540958,0.18167321290838,0.8558391891126546,0.9523884630252052,ENSMUSG00000027610,Gss,0.6437764326492784
ENSMUSG00000074652.3,207.97081,-0.5781005421872504,0.18665456891749754,3.097167915791948,0.0019537916798427657,0.019165247108240135,ENSMUSG00000074652,Myh7b,0.6437764326492784
ENSMUSG00000038324.13,5936.4653,-0.06939860037486643,0.021657683260287178,3.204340904833522,0.0013537208350954894,0.014197520600870284,ENSMUSG00000038324,Trpc4ap,0.6437764326492784
ENSMUSG00000038312.10,651.6292,-0.1225011874494826,0.06608781883131207,1.8536122029108661,0.06379466051251131,0.2439174976291411,ENSMUSG00000038312,Edem2,0.6437764326492784
ENSMUSG00000027612.7,1205.2318,-0.09670536675609114,0.1264043190526997,0.7650479626077756,0.44424298484265934,0.7442699197383018,ENSMUSG00000027612,Mmp24,0.6437764326492784
ENSMUSG00000027613.15,786.6204,-0.11781961937181738,0.04903470551916262,2.4027801966868916,0.01627096412460042,0.09480312386244441,ENSMUSG00000027613,Eif6,0.6437764326492784
ENSMUSG00000005882.18,2289.1711,-0.002381857424637728,0.06697014045242253,0.0355659613156981,0.9716284500755504,0.9911750548670749,ENSMUSG00000005882,Uqcc1,0.6437764326492784
ENSMUSG00000038241.16,2367.511,-0.08066634248365469,0.27539758221240734,0.29290868073576165,0.769591953456724,0.9203659320500769,ENSMUSG00000038241,Cep250,0.6437764326492784
ENSMUSG00000074646.10,135.58763,0.0011552367375049068,0.14317131376248515,-0.008068912040727608,0.9935620095203771,0.9975891204797849,ENSMUSG00000074646,6430550D23Rik,0.6437764326492784
ENSMUSG00000005881.13,2961.98,-0.17273336263863742,0.03603413927884781,4.793603124580046,1.6381219116217713e-06,4.6320399005793755e-05,ENSMUSG00000005881,Ergic3,0.6437764326492784
ENSMUSG00000038180.11,323.00943,-0.42695127635569946,0.1377063656352142,3.100446913882678,0.0019322884747371301,0.018996696307253574,ENSMUSG00000038180,Spag4,0.6437764326492784
ENSMUSG00000089824.10,1304.8694,0.0689460565301136,0.08245419401548815,-0.8361740400635388,0.4030570004257985,0.711815094235259,ENSMUSG00000089824,Rbm12,0.6437764326492784
